Player Name,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,Salary,Weight,Height,NewLeague
Rick Leach,246,76,5,35,39,13,6,912,234,12,102,96,80,A,E,44,0,1,250000,180,73,A
Rick Manning,205,52,8,31,27,17,12,5134,1323,56,643,445,459,A,E,155,3,2,400000,180,73,A
Rick Schu,208,57,8,32,25,18,3,653,170,17,98,54,62,N,E,42,94,13,140000,170,72,N
Rickey Henderson,608,160,28,130,74,89,8,4071,1182,103,862,417,708,A,E,426,4,6,1670000,180,70,A
Ricky Jones,33,6,0,2,4,7,1,33,6,0,2,4,7,A,W,205,5,4,NA,186,75,A
Rob Deer,466,108,33,75,86,72,3,652,142,44,102,109,102,A,E,286,8,8,215000,210,75,A
Rob Wilfong,288,63,3,25,33,16,10,2682,667,38,315,259,204,A,W,135,257,7,341667,180,73,A
Robby Thompson,549,149,7,73,47,42,1,549,149,7,73,47,42,N,W,255,450,17,140000,165,71,N
Robin Yount,522,163,9,82,46,62,13,7037,2019,153,1043,827,535,A,E,352,9,1,1000000,165,72,A
Ron Cey,256,70,13,42,36,44,16,7058,1845,312,965,1128,990,N,E,41,118,8,1050000,185,70,A
Ron Hassey,341,110,9,45,49,46,9,2331,658,50,249,322,274,A,E,251,9,4,560000,200,74,A
Ron Kittle,376,82,21,42,60,35,5,1770,408,115,238,299,157,A,W,0,0,0,425000,200,76,A
Ron Oester,523,135,8,52,44,52,9,3368,895,39,377,284,296,N,W,367,475,19,750000,185,74,N
Ron Roenicke,275,68,5,42,42,61,6,961,238,16,128,104,172,N,E,181,3,2,191000,180,72,N
Ronn Reynolds,126,27,3,8,10,5,4,239,49,3,16,13,14,N,E,190,2,9,190000,200,72,N
Roy Smalley,459,113,20,59,57,68,12,5348,1369,155,713,660,735,A,W,0,0,0,740000,185,73,A
Ruben Sierra,382,101,16,50,55,22,1,382,101,16,50,55,22,A,W,200,7,6,97500,175,73,A
Rudy Law,307,80,1,42,36,29,7,2421,656,18,379,198,184,A,W,145,2,2,360000,165,73,A
Ryne Sandberg,627,178,14,68,76,46,6,3146,902,74,494,345,242,N,E,309,492,5,740000,175,73,N
Scott Bradley,220,66,5,20,28,13,3,290,80,5,27,31,15,A,W,281,21,3,90000,185,71,A
Scott Fletcher,530,159,3,82,50,47,6,1619,426,11,218,149,163,A,W,196,354,15,475000,168,71,A
Shawon Dunston,581,145,17,66,68,21,2,831,210,21,106,86,40,N,E,320,465,32,155000,175,73,N
Sid Bream,522,140,16,73,77,60,4,730,185,22,93,106,86,N,E,1320,166,17,200000,215,76,N
Spike Owen,528,122,1,67,45,51,4,1716,403,12,211,146,155,A,W,209,372,17,350000,165,69,A
Steve Balboni,512,117,29,54,88,43,6,1750,412,100,204,276,155,A,W,1236,98,18,100000,225,75,A
Steve Buechele,461,112,18,54,54,35,2,680,160,24,76,75,49,A,W,111,226,11,135000,190,74,A
Steve Garvey,557,142,21,58,81,23,18,8759,2583,271,1138,1299,478,N,W,1160,53,7,1450000,192,70,N
Steve Jeltz,439,96,0,44,36,65,4,711,148,1,68,56,99,N,E,229,406,22,150000,180,71,N
Steve Lombardozzi,453,103,8,53,33,52,2,507,123,8,63,39,58,A,W,289,407,6,105000,175,72,A
Steve Sax,633,210,6,91,56,59,6,3070,872,19,420,230,274,N,W,367,432,16,90000,185,71,N
Ted Simmons,127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,N,W,167,18,6,500000,193,71,N
Terry Harper,265,68,8,26,30,29,7,1337,339,32,135,163,128,N,W,92,5,3,425000,195,76,A
Terry Kennedy,19,4,1,2,3,1,1,19,4,1,2,3,1,N,W,692,70,8,920000,220,75,A
Terry Pendleton,578,138,1,56,59,34,3,1399,357,7,149,161,87,N,E,133,371,20,160000,178,69,N
Terry Puhl,172,42,3,17,14,15,10,4086,1150,57,579,363,406,N,W,65,0,0,900000,195,74,N
Tim Flannery,368,103,3,48,28,54,8,1897,493,9,207,162,198,N,W,209,246,3,326667,175,71,N
Tim Hulett,520,120,17,53,44,21,4,927,227,22,106,80,52,A,W,70,144,11,185000,185,72,A
Tim Laudner,193,47,10,21,29,24,6,1136,256,42,129,139,106,A,W,299,13,5,245000,212,75,A
Tim Raines,580,194,9,91,62,78,8,3372,1028,48,604,314,469,N,E,270,13,6,1515000,160,68,N
Tim Teufel,279,69,4,35,31,32,4,1359,355,31,180,148,158,N,E,133,173,9,277500,175,72,N
Tim Wallach,480,112,18,50,71,44,7,3031,771,110,338,406,239,N,E,94,270,16,750000,220,75,N
Tito Landrum,205,43,2,24,17,20,7,854,219,12,105,99,71,N,E,131,6,1,286667,175,71,N
Toby Harrah,289,63,7,36,41,44,17,7402,1954,195,1115,919,1153,A,W,166,211,7,700000,175,72,A
Tom Brookens,281,76,3,42,25,20,8,2658,657,48,324,300,179,A,E,106,144,7,341667,165,70,A
Tom Brunansky,593,152,23,69,75,53,6,2765,686,133,369,384,321,A,W,315,10,6,940000,210,76,A
Tom Foley,263,70,1,26,23,30,4,888,220,9,83,82,86,N,E,81,147,4,250000,175,73,N
Tom O'Malley,181,46,1,19,18,17,5,937,238,9,88,95,104,A,E,37,98,9,NA,,,A
Tom Paciorek,213,61,4,17,22,3,17,4061,1145,83,488,491,244,A,W,178,45,4,235000,215,76,A
Tommy Herr,559,141,2,48,61,73,8,3162,874,16,421,349,359,N,E,352,414,9,925000,,,N
Tony Armas,16,2,0,1,0,0,2,28,4,0,1,0,0,A,E,247,4,8,1000000,182,71,A
Tony Bernazard,562,169,17,88,73,53,8,3181,841,61,450,342,373,A,E,351,442,17,530000,150,69,A
Tony Fernandez,687,213,10,91,65,27,4,1518,448,15,196,137,89,A,E,294,445,13,350000,165,74,A
Tony Gwynn,642,211,14,107,59,52,5,2364,770,27,352,230,193,N,W,337,19,4,740000,185,71,N
Tony Pena,510,147,10,56,52,53,7,2872,821,63,307,340,174,N,E,810,99,18,1150000,175,72,N
Tony Perez,200,51,2,14,29,25,23,9778,2732,379,1272,1652,925,N,W,398,29,7,275000,175,74,N
Tony Phillips,441,113,5,76,52,76,5,1546,397,17,226,149,191,A,W,160,290,11,425000,175,70,A
Vance Law,360,81,5,37,44,37,7,2268,566,41,279,257,246,N,E,170,284,3,525000,185,74,N
Vince Coleman,600,139,0,94,29,60,2,1236,309,1,201,69,110,N,E,300,12,9,160000,170,72,N
Von Hayes,610,186,19,107,98,74,6,2728,753,69,399,366,286,N,E,1182,96,13,1300000,185,77,N
Wade Boggs,580,207,8,107,71,105,5,2778,978,32,474,322,417,A,E,121,267,19,1600000,190,74,A
Wally Backman,387,124,1,67,27,36,7,1775,506,6,272,125,194,N,E,186,290,17,550000,160,69,N
Wally Joyner,593,172,22,82,100,57,1,593,172,22,82,100,57,A,W,1222,139,15,165000,185,74,A
Wayne Krenchicki,221,53,2,21,23,22,8,1063,283,15,107,124,106,N,E,325,58,6,320000,180,73,N
Wayne Tolleson,475,126,3,61,43,52,6,1700,433,7,217,93,146,A,W,37,113,7,385000,160,69,A
Will Clark,408,117,11,66,41,34,1,408,117,11,66,41,34,N,W,942,72,11,120000,190,74,N
Willie McGee,497,127,7,65,48,37,5,2703,806,32,379,311,138,N,E,325,9,3,700000,175,73,N
Willie Randolph,492,136,5,76,50,94,12,5511,1511,39,897,451,875,A,E,313,381,20,875000,165,71,A
Willie Upshaw,573,144,9,85,60,78,8,3198,857,97,470,420,332,A,E,1314,131,12,960000,185,72,A
Willie Wilson,631,170,9,77,44,31,11,4908,1457,30,775,357,249,A,W,408,4,3,1000000,190,75,A
