"","AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","PutOuts","Assists","Errors","Salary","Weight","Height","LeagueA","LeagueN","DivisionE","DivisionW","NewLeagueA","NewLeagueN"
"Nick Esasky",330,76,12,35,41,47,4,1367,326,55,167,198,167,512,30,5,272500,200,75,0,1,0,1,0,1
"Oddibe McDowell",572,152,18,105,49,65,2,978,249,36,168,91,101,325,13,3,2e+05,165,69,1,0,0,1,1,0
"Omar Moreno",359,84,4,46,27,21,12,4992,1257,37,699,386,387,151,8,5,260000,180,74,0,1,0,1,0,1
"Ozzie Guillen",547,137,2,58,47,12,2,1038,271,3,129,80,24,261,459,22,175000,150,71,1,0,0,1,1,0
"Ozzie Smith",514,144,0,67,54,79,9,4739,1169,13,583,374,528,229,453,15,1940000,150,71,0,1,1,0,0,1
"Ozzie Virgil",359,80,15,45,48,63,7,1493,359,61,176,202,175,682,93,13,7e+05,180,73,0,1,0,1,0,1
"Pat Sheridan",236,56,6,41,19,21,5,1257,329,24,166,125,105,172,1,4,190000,175,75,1,0,1,0,1,0
"Pat Tabler",473,154,6,61,48,29,6,1966,566,29,250,252,178,846,84,9,580000,175,75,1,0,1,0,1,0
"Paul Molitor",437,123,9,62,55,40,9,4139,1203,79,676,390,364,82,170,15,1260000,185,72,1,0,1,0,1,0
"Pete Incaviglia",540,135,30,82,88,55,1,540,135,30,82,88,55,157,6,14,172000,225,73,1,0,0,1,1,0
"Pete Rose",237,52,0,15,25,30,24,14053,4256,160,2165,1314,1566,523,43,6,750000,192,71,0,1,0,1,0,1
"Phil Bradley",526,163,12,88,50,77,4,1556,470,38,245,167,174,250,11,1,750000,185,72,1,0,0,1,1,0
"Phil Garner",313,83,9,43,41,30,14,5885,1543,104,751,714,535,58,141,23,450000,175,70,0,1,0,1,0,1
"Rafael Belliard",309,72,0,33,31,26,5,354,82,0,41,32,26,117,269,12,130000,160,66,0,1,1,0,0,1
"Rafael Ramirez",496,119,8,57,33,21,7,3358,882,36,365,280,165,155,371,29,875000,170,72,0,1,0,1,0,1
"Rafael Santana",394,86,1,38,28,36,4,1089,267,3,94,71,76,203,369,16,250000,165,73,0,1,1,0,0,1
"Rance Mulliniks",348,90,11,50,45,43,10,2288,614,43,295,273,269,60,176,6,450000,162,71,1,0,1,0,1,0
"Randy Bush",357,96,7,50,45,39,5,1394,344,43,178,192,136,167,2,4,3e+05,186,73,1,0,0,1,1,0
"Randy Kutcher",186,44,7,28,16,11,1,186,44,7,28,16,11,99,3,1,60000,170,71,0,1,0,1,0,1
"Ray Knight",486,145,11,51,76,40,11,3967,1102,67,410,497,284,88,204,16,5e+05,185,73,0,1,1,0,1,0
"Reggie Jackson",419,101,18,65,58,92,20,9528,2510,548,1509,1659,1342,0,0,0,487500,195,72,1,0,0,1,1,0
"Reggie Williams",303,84,4,35,32,23,2,312,87,4,39,32,23,179,5,3,60000,185,71,0,1,0,1,0,1
"Rey Quinones",312,68,2,32,22,24,1,312,68,2,32,22,24,86,150,15,70000,160,71,1,0,1,0,1,0
"Rich Gedman",462,119,16,49,65,37,7,2131,583,69,244,288,150,866,65,6,650000,210,72,1,0,1,0,1,0
"Rick Burleson",271,77,5,35,29,33,12,4933,1358,48,630,435,403,62,90,3,450000,165,70,1,0,0,1,1,0
"Rick Cerone",216,56,4,22,18,15,12,2796,665,43,266,304,198,391,44,4,250000,192,71,1,0,1,0,1,0
"Rick Dempsey",327,68,13,42,29,45,18,3949,939,78,438,380,466,659,53,7,4e+05,190,72,1,0,1,0,1,0
"Rick Leach",246,76,5,35,39,13,6,912,234,12,102,96,80,44,0,1,250000,180,73,1,0,1,0,1,0
"Rick Manning",205,52,8,31,27,17,12,5134,1323,56,643,445,459,155,3,2,4e+05,180,73,1,0,1,0,1,0
"Rick Schu",208,57,8,32,25,18,3,653,170,17,98,54,62,42,94,13,140000,170,72,0,1,1,0,0,1
"Rickey Henderson",608,160,28,130,74,89,8,4071,1182,103,862,417,708,426,4,6,1670000,180,70,1,0,1,0,1,0
"Rob Deer",466,108,33,75,86,72,3,652,142,44,102,109,102,286,8,8,215000,210,75,1,0,1,0,1,0
"Rob Wilfong",288,63,3,25,33,16,10,2682,667,38,315,259,204,135,257,7,341667,180,73,1,0,0,1,1,0
"Robby Thompson",549,149,7,73,47,42,1,549,149,7,73,47,42,255,450,17,140000,165,71,0,1,0,1,0,1
"Robin Yount",522,163,9,82,46,62,13,7037,2019,153,1043,827,535,352,9,1,1e+06,165,72,1,0,1,0,1,0
"Ron Cey",256,70,13,42,36,44,16,7058,1845,312,965,1128,990,41,118,8,1050000,185,70,0,1,1,0,1,0
"Ron Hassey",341,110,9,45,49,46,9,2331,658,50,249,322,274,251,9,4,560000,200,74,1,0,1,0,1,0
"Ron Kittle",376,82,21,42,60,35,5,1770,408,115,238,299,157,0,0,0,425000,200,76,1,0,0,1,1,0
"Ron Oester",523,135,8,52,44,52,9,3368,895,39,377,284,296,367,475,19,750000,185,74,0,1,0,1,0,1
"Ron Roenicke",275,68,5,42,42,61,6,961,238,16,128,104,172,181,3,2,191000,180,72,0,1,1,0,0,1
"Ronn Reynolds",126,27,3,8,10,5,4,239,49,3,16,13,14,190,2,9,190000,200,72,0,1,1,0,0,1
"Roy Smalley",459,113,20,59,57,68,12,5348,1369,155,713,660,735,0,0,0,740000,185,73,1,0,0,1,1,0
"Ruben Sierra",382,101,16,50,55,22,1,382,101,16,50,55,22,200,7,6,97500,175,73,1,0,0,1,1,0
"Rudy Law",307,80,1,42,36,29,7,2421,656,18,379,198,184,145,2,2,360000,165,73,1,0,0,1,1,0
"Ryne Sandberg",627,178,14,68,76,46,6,3146,902,74,494,345,242,309,492,5,740000,175,73,0,1,1,0,0,1
"Scott Bradley",220,66,5,20,28,13,3,290,80,5,27,31,15,281,21,3,90000,185,71,1,0,0,1,1,0
"Scott Fletcher",530,159,3,82,50,47,6,1619,426,11,218,149,163,196,354,15,475000,168,71,1,0,0,1,1,0
"Shawon Dunston",581,145,17,66,68,21,2,831,210,21,106,86,40,320,465,32,155000,175,73,0,1,1,0,0,1
"Sid Bream",522,140,16,73,77,60,4,730,185,22,93,106,86,1320,166,17,2e+05,215,76,0,1,1,0,0,1
"Spike Owen",528,122,1,67,45,51,4,1716,403,12,211,146,155,209,372,17,350000,165,69,1,0,0,1,1,0
"Steve Balboni",512,117,29,54,88,43,6,1750,412,100,204,276,155,1236,98,18,1e+05,225,75,1,0,0,1,1,0
"Steve Buechele",461,112,18,54,54,35,2,680,160,24,76,75,49,111,226,11,135000,190,74,1,0,0,1,1,0
"Steve Garvey",557,142,21,58,81,23,18,8759,2583,271,1138,1299,478,1160,53,7,1450000,192,70,0,1,0,1,0,1
"Steve Jeltz",439,96,0,44,36,65,4,711,148,1,68,56,99,229,406,22,150000,180,71,0,1,1,0,0,1
"Steve Lombardozzi",453,103,8,53,33,52,2,507,123,8,63,39,58,289,407,6,105000,175,72,1,0,0,1,1,0
"Steve Sax",633,210,6,91,56,59,6,3070,872,19,420,230,274,367,432,16,90000,185,71,0,1,0,1,0,1
"Ted Simmons",127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,167,18,6,5e+05,193,71,0,1,0,1,0,1
"Terry Harper",265,68,8,26,30,29,7,1337,339,32,135,163,128,92,5,3,425000,195,76,0,1,0,1,1,0
"Terry Kennedy",19,4,1,2,3,1,1,19,4,1,2,3,1,692,70,8,920000,220,75,0,1,0,1,1,0
"Terry Pendleton",578,138,1,56,59,34,3,1399,357,7,149,161,87,133,371,20,160000,178,69,0,1,1,0,0,1
"Terry Puhl",172,42,3,17,14,15,10,4086,1150,57,579,363,406,65,0,0,9e+05,195,74,0,1,0,1,0,1
"Tim Flannery",368,103,3,48,28,54,8,1897,493,9,207,162,198,209,246,3,326667,175,71,0,1,0,1,0,1
"Tim Hulett",520,120,17,53,44,21,4,927,227,22,106,80,52,70,144,11,185000,185,72,1,0,0,1,1,0
"Tim Laudner",193,47,10,21,29,24,6,1136,256,42,129,139,106,299,13,5,245000,212,75,1,0,0,1,1,0
"Tim Raines",580,194,9,91,62,78,8,3372,1028,48,604,314,469,270,13,6,1515000,160,68,0,1,1,0,0,1
"Tim Teufel",279,69,4,35,31,32,4,1359,355,31,180,148,158,133,173,9,277500,175,72,0,1,1,0,0,1
"Tim Wallach",480,112,18,50,71,44,7,3031,771,110,338,406,239,94,270,16,750000,220,75,0,1,1,0,0,1
"Tito Landrum",205,43,2,24,17,20,7,854,219,12,105,99,71,131,6,1,286667,175,71,0,1,1,0,0,1
"Toby Harrah",289,63,7,36,41,44,17,7402,1954,195,1115,919,1153,166,211,7,7e+05,175,72,1,0,0,1,1,0
"Tom Brookens",281,76,3,42,25,20,8,2658,657,48,324,300,179,106,144,7,341667,165,70,1,0,1,0,1,0
"Tom Brunansky",593,152,23,69,75,53,6,2765,686,133,369,384,321,315,10,6,940000,210,76,1,0,0,1,1,0
"Tom Foley",263,70,1,26,23,30,4,888,220,9,83,82,86,81,147,4,250000,175,73,0,1,1,0,0,1
"Tom Paciorek",213,61,4,17,22,3,17,4061,1145,83,488,491,244,178,45,4,235000,215,76,1,0,0,1,1,0
"Tommy Herr",559,141,2,48,61,73,8,3162,874,16,421,349,359,352,414,9,925000,185,74,0,1,1,0,0,1
"Tony Armas",16,2,0,1,0,0,2,28,4,0,1,0,0,247,4,8,1e+06,182,71,1,0,1,0,1,0
"Tony Bernazard",562,169,17,88,73,53,8,3181,841,61,450,342,373,351,442,17,530000,150,69,1,0,1,0,1,0
"Tony Fernandez",687,213,10,91,65,27,4,1518,448,15,196,137,89,294,445,13,350000,165,74,1,0,1,0,1,0
"Tony Gwynn",642,211,14,107,59,52,5,2364,770,27,352,230,193,337,19,4,740000,185,71,0,1,0,1,0,1
"Tony Pena",510,147,10,56,52,53,7,2872,821,63,307,340,174,810,99,18,1150000,175,72,0,1,1,0,0,1
"Tony Perez",200,51,2,14,29,25,23,9778,2732,379,1272,1652,925,398,29,7,275000,175,74,0,1,0,1,0,1
"Tony Phillips",441,113,5,76,52,76,5,1546,397,17,226,149,191,160,290,11,425000,175,70,1,0,0,1,1,0
"Vance Law",360,81,5,37,44,37,7,2268,566,41,279,257,246,170,284,3,525000,185,74,0,1,1,0,0,1
"Vince Coleman",600,139,0,94,29,60,2,1236,309,1,201,69,110,300,12,9,160000,170,72,0,1,1,0,0,1
"Von Hayes",610,186,19,107,98,74,6,2728,753,69,399,366,286,1182,96,13,1300000,185,77,0,1,1,0,0,1
"Wade Boggs",580,207,8,107,71,105,5,2778,978,32,474,322,417,121,267,19,1600000,190,74,1,0,1,0,1,0
"Wally Backman",387,124,1,67,27,36,7,1775,506,6,272,125,194,186,290,17,550000,160,69,0,1,1,0,0,1
"Wally Joyner",593,172,22,82,100,57,1,593,172,22,82,100,57,1222,139,15,165000,185,74,1,0,0,1,1,0
"Wayne Krenchicki",221,53,2,21,23,22,8,1063,283,15,107,124,106,325,58,6,320000,180,73,0,1,1,0,0,1
"Wayne Tolleson",475,126,3,61,43,52,6,1700,433,7,217,93,146,37,113,7,385000,160,69,1,0,0,1,1,0
"Will Clark",408,117,11,66,41,34,1,408,117,11,66,41,34,942,72,11,120000,190,74,0,1,0,1,0,1
"Willie McGee",497,127,7,65,48,37,5,2703,806,32,379,311,138,325,9,3,7e+05,175,73,0,1,1,0,0,1
"Willie Randolph",492,136,5,76,50,94,12,5511,1511,39,897,451,875,313,381,20,875000,165,71,1,0,1,0,1,0
"Willie Upshaw",573,144,9,85,60,78,8,3198,857,97,470,420,332,1314,131,12,960000,185,72,1,0,1,0,1,0
"Willie Wilson",631,170,9,77,44,31,11,4908,1457,30,775,357,249,408,4,3,1e+06,190,75,1,0,0,1,1,0
